2.47 16.6 40000
2.82 16.4 35000
3.28 16.3 30000
3.92 15.5 25000
4.88 14.9 20000
6.45 13.1 15000
9.52 10.4 10000
10.53 9.9 9000
11.76 8.5 8000
13.33 7.3 7000
15.38 5.6 6000
